provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah
SUMATERA BARAT,MAKANAN,PERDESAAN,2020,SEPTEMBER,416419,2484041,597149,17571
SUMATERA BARAT,MAKANAN,PERKOTAAN,2021,MARET,424106,2484041,718095,16630
SUMATERA BARAT,MAKANAN,PERKOTAAN,2021,SEPTEMBER,431008,2484041,718095,16630
SUMATERA BARAT,MAKANAN,PERKOTAAN,2022,MARET,453326,2512539,756882,15887
SUMATERA BARAT,MAKANAN,PERKOTAAN,2022,SEPTEMBER,490322,2512539,756882,15887
SUMATERA BARAT,MAKANAN,PERDESAAN,2021,MARET,438205,2484041,619721,16630
SUMATERA BARAT,MAKANAN,PERDESAAN,2021,SEPTEMBER,444693,2484041,619721,16630
SUMATERA BARAT,MAKANAN,PERDESAAN,2022,MARET,470942,2512539,677060,15887
SUMATERA BARAT,MAKANAN,PERDESAAN,2022,SEPTEMBER,500796,2512539,677060,15887
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2015,MARET,117925,1615000,578890,11241
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,121984,1615000,578890,11241
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2016,MARET,129369,1800725,610624,13206
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,132506,1800725,610624,13206
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2015,MARET,75985,1615000,319143,11241
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,77884,1615000,319143,11241
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2016,MARET,81375,1800725,334953,13206
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,83703,1800725,334953,13206
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2017,MARET,135481,1949284,625397,14378
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,136026,1949284,625397,14378
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2018,MARET,139235,2119067,705784,14431
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,140237,2119067,705784,14431
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2017,MARET,86342,1949284,359478,14378
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,86644,1949284,359478,14378
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2018,MARET,91162,2119067,416100,14431
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,95901,2119067,416100,14431
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2019,MARET,143519,2289220,709405,15210
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,149242,2289220,709405,15210
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2020,MARET,151198,2484041,753188,17571
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,152458,2484041,753188,17571
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2019,MARET,101722,2289220,419508,15210
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,108553,2289220,419508,15210
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2020,MARET,112136,2484041,445718,17571
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,113254,2484041,445718,17571
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2021,MARET,156831,2484041,764266,16630
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,161294,2484041,764266,16630
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2022,MARET,169253,2512539,781204,15887
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,178321,2512539,781204,15887
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2021,MARET,117976,2484041,468281,16630
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,121531,2484041,468281,16630
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2022,MARET,127489,2512539,477638,15887
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,138150,2512539,477638,15887
RIAU,MAKANAN,PERKOTAAN,2015,MARET,280361,1878000,530836,13303
RIAU,MAKANAN,PERKOTAAN,2015,SEPTEMBER,288956,1878000,530836,13303
RIAU,MAKANAN,PERKOTAAN,2016,MARET,292026,2095000,599303,15506
RIAU,MAKANAN,PERKOTAAN,2016,SEPTEMBER,301570,2095000,599303,15506
RIAU,MAKANAN,PERDESAAN,2015,MARET,302422,1878000,472756,13303
RIAU,MAKANAN,PERDESAAN,2015,SEPTEMBER,318195,1878000,472756,13303
RIAU,MAKANAN,PERDESAAN,2016,MARET,326262,2095000,529182,15506
RIAU,MAKANAN,PERDESAAN,2016,SEPTEMBER,333174,2095000,529182,15506
RIAU,MAKANAN,PERKOTAAN,2017,MARET,318174,2266722,643136,15182
RIAU,MAKANAN,PERKOTAAN,2017,SEPTEMBER,327480,2266722,643136,15182
RIAU,MAKANAN,PERKOTAAN,2018,MARET,342425,2464154,644937,15613
RIAU,MAKANAN,PERKOTAAN,2018,SEPTEMBER,350004,2464154,644937,15613
RIAU,MAKANAN,PERDESAAN,2017,MARET,346208,2266722,577172,15182
RIAU,MAKANAN,PERDESAAN,2017,SEPTEMBER,350965,2266722,577172,15182
RIAU,MAKANAN,PERDESAAN,2018,MARET,357685,2464154,569382,15613
RIAU,MAKANAN,PERDESAAN,2018,SEPTEMBER,358620,2464154,569382,15613
RIAU,MAKANAN,PERKOTAAN,2019,MARET,361135,2662026,680685,16270
