provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah,Cluster
SUMATERA BARAT,MAKANAN,PERKOTAAN,2020.0,MARET,411368.99999999994,2484041.0,698667.0,17571.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2020.0,SEPTEMBER,413073.0,2484041.0,698667.0,17571.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2019.0,MARET,382217.0,2289220.0,561206.0,15210.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2019.0,SEPTEMBER,401904.0,2289220.0,561206.0,15210.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2020.0,MARET,415694.0,2484041.0,597149.0,17571.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2020.0,SEPTEMBER,416419.0,2484041.0,597149.0,17571.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2021.0,MARET,424106.0,2484041.0,718095.0,16630.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2021.0,SEPTEMBER,431008.0,2484041.0,718095.0,16630.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2022.0,MARET,453326.0,2512539.0,756882.0000000001,15887.0,1
SUMATERA BARAT,MAKANAN,PERKOTAAN,2022.0,SEPTEMBER,490321.99999999994,2512539.0,756882.0000000001,15887.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2021.0,MARET,438205.0,2484041.0,619721.0,16630.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2021.0,SEPTEMBER,444693.0,2484041.0,619721.0,16630.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2022.0,MARET,470942.0,2512539.0,677060.0,15887.0,1
SUMATERA BARAT,MAKANAN,PERDESAAN,2022.0,SEPTEMBER,500795.99999999994,2512539.0,677060.0,15887.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2015.0,MARET,117925.0,1615000.0,578890.0,11241.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2015.0,SEPTEMBER,121984.0,1615000.0,578890.0,11241.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2016.0,MARET,129369.0,1800725.0,610624.0,13206.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2016.0,SEPTEMBER,132506.0,1800725.0,610624.0,13206.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2015.0,MARET,75985.0,1615000.0,319143.0,11241.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2015.0,SEPTEMBER,77884.0,1615000.0,319143.0,11241.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2016.0,MARET,81375.0,1800725.0,334953.0,13206.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2016.0,SEPTEMBER,83703.0,1800725.0,334953.0,13206.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2017.0,MARET,135481.0,1949284.0,625397.0,14378.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2017.0,SEPTEMBER,136026.0,1949284.0,625397.0,14378.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2018.0,MARET,139235.0,2119067.0,705784.0,14431.0,1
SUMATERA BARAT,NONMAKANAN,PERKOTAAN,2018.0,SEPTEMBER,140237.0,2119067.0,705784.0,14431.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2017.0,MARET,86342.0,1949284.0,359478.0,14378.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2017.0,SEPTEMBER,86644.0,1949284.0,359478.0,14378.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2018.0,MARET,91162.0,2119067.0,416100.0,14431.0,1
SUMATERA BARAT,NONMAKANAN,PERDESAAN,2018.0,SEPTEMBER,95901.00000000001,2119067.0,416100.0,14431.0,1
